Data Hora;Último Registro;Chuva Acumulada em 1 Hora(s);Chuva Acumulada em 4 Hora(s);Chuva Acumulada em 24 Hora(s);Chuva Acumulada em 48 Hora(s);Chuva Acumulada em 96 Hora(s)
20/06/2018 19:15;0,0;0,0;0,0;0,0;0,0;0,0
20/06/2018 19:30;0,0;0,0;0,0;0,0;0,0;0,0
20/06/2018 19:45;0,0;0,0;0,0;0,0;0,0;0,0
20/06/2018 20:00;0,0;0,0;0,0;0,0;0,0;0,0
20/06/2018 20:15;0,0;0,0;0,0;0,0;0,0;0,0
20/06/2018 20:30;0,0;0,0;0,0;0,0;0,0;0,0
20/06/2018 20:45;0,0;0,0;0,0;0,0;0,0;0,0
20/06/2018 21:00;0,0;0,0;0,0;0,0;0,0;0,0
20/06/2018 21:15;0,0;0,0;0,0;0,0;0,0;0,0
20/06/2018 21:30;0,0;0,0;0,0;0,0;0,0;0,0
20/06/2018 21:45;0,0;0,0;0,0;0,0;0,0;0,0
20/06/2018 22:00;0,0;0,0;0,0;0,0;0,0;0,0
20/06/2018 22:15;0,0;0,0;0,0;0,0;0,0;0,0
20/06/2018 22:30;0,0;0,0;0,0;0,0;0,0;0,0
20/06/2018 22:45;0,0;0,0;0,0;0,0;0,0;0,0
20/06/2018 23:00;0,0;0,0;0,0;0,0;0,0;0,0
20/06/2018 23:15;0,0;0,0;0,0;0,0;0,0;0,0
20/06/2018 23:30;0,0;0,0;0,0;0,0;0,0;0,0
20/06/2018 23:45;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 00:00;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 00:15;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 00:30;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 00:45;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 01:00;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 01:15;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 01:30;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 01:45;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 02:00;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 02:15;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 02:30;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 02:45;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 03:00;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 03:15;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 03:30;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 03:45;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 04:00;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 04:15;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 04:30;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 04:45;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 05:00;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 05:15;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 05:30;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 05:45;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 06:00;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 06:15;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 06:30;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 06:45;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 07:00;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 07:15;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 07:30;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 07:45;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 08:00;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 08:15;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 08:30;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 08:45;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 09:00;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 09:15;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 09:30;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 09:45;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 10:00;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 10:15;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 10:30;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 10:45;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 11:00;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 11:15;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 11:30;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 11:45;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 12:00;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 12:15;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 12:30;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 12:45;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 13:00;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 13:15;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 13:30;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 13:45;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 14:00;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 14:15;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 14:30;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 14:45;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 15:00;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 15:15;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 15:30;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 15:45;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 16:00;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 16:15;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 16:30;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 16:45;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 17:00;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 17:15;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 17:30;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 17:45;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 18:00;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 18:15;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 18:30;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 18:45;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 19:00;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 19:15;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 19:30;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 19:45;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 20:00;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 20:15;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 20:30;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 20:45;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 21:00;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 21:15;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 21:30;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 21:45;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 22:00;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 22:15;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 22:30;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 22:45;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 23:00;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 23:15;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 23:30;0,0;0,0;0,0;0,0;0,0;0,0
21/06/2018 23:45;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 00:00;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 00:15;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 00:30;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 00:45;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 01:00;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 01:15;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 01:30;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 01:45;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 02:00;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 02:15;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 02:30;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 02:45;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 03:00;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 03:15;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 03:30;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 03:45;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 04:00;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 04:15;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 04:30;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 04:45;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 05:00;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 05:15;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 05:30;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 05:45;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 06:00;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 06:15;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 06:30;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 06:45;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 07:00;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 07:15;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 07:30;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 07:45;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 08:00;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 08:15;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 08:30;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 08:45;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 09:00;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 09:15;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 09:30;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 09:45;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 10:00;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 10:15;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 10:30;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 10:45;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 11:00;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 11:15;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 11:30;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 11:45;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 12:00;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 12:15;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 12:30;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 12:45;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 13:00;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 13:15;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 13:30;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 13:45;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 14:00;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 14:15;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 14:30;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 14:45;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 15:00;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 15:15;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 15:30;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 15:45;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 16:00;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 16:15;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 16:30;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 16:45;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 17:00;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 17:15;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 17:30;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 17:45;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 18:00;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 18:15;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 18:30;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 18:45;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 19:00;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 19:15;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 19:30;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 19:45;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 20:00;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 20:15;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 20:30;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 20:45;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 21:00;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 21:15;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 21:30;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 21:45;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 22:00;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 22:15;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 22:30;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 22:45;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 23:00;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 23:15;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 23:30;0,0;0,0;0,0;0,0;0,0;0,0
22/06/2018 23:45;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 00:00;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 00:15;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 00:30;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 00:45;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 01:00;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 01:15;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 01:30;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 01:45;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 02:00;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 02:15;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 02:30;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 02:45;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 03:00;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 03:15;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 03:30;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 03:45;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 04:00;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 04:15;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 04:30;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 04:45;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 05:00;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 05:15;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 05:30;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 05:45;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 06:00;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 06:15;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 06:30;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 06:45;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 07:00;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 07:15;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 07:30;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 07:45;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 08:00;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 08:15;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 08:30;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 08:45;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 09:00;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 09:15;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 09:30;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 09:45;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 10:00;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 10:15;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 10:30;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 10:45;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 11:00;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 11:15;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 11:30;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 11:45;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 12:00;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 12:15;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 12:30;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 12:45;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 13:00;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 13:15;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 13:30;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 13:45;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 14:00;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 14:15;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 14:30;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 14:45;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 15:00;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 15:15;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 15:30;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 15:45;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 16:00;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 16:15;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 16:30;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 16:45;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 17:00;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 17:15;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 17:30;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 17:45;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 18:00;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 18:15;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 18:30;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 18:45;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 19:00;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 19:15;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 19:30;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 19:45;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 20:00;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 20:15;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 20:30;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 20:45;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 21:00;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 21:15;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 21:30;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 21:45;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 22:00;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 22:15;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 22:30;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 22:45;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 23:00;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 23:15;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 23:30;0,0;0,0;0,0;0,0;0,0;0,0
23/06/2018 23:45;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 00:00;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 00:15;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 00:30;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 00:45;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 01:00;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 01:15;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 01:30;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 01:45;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 02:00;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 02:15;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 02:30;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 02:45;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 03:00;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 03:15;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 03:30;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 03:45;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 04:00;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 04:15;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 04:30;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 04:45;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 05:00;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 05:15;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 05:30;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 05:45;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 06:00;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 06:15;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 06:30;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 06:45;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 07:00;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 07:15;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 07:30;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 07:45;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 08:00;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 08:15;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 08:30;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 08:45;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 09:00;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 09:15;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 09:30;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 09:45;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 10:00;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 10:15;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 10:30;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 10:45;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 11:00;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 11:15;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 11:30;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 11:45;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 12:00;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 12:15;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 12:30;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 12:45;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 13:00;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 13:15;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 13:30;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 13:45;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 14:00;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 14:15;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 14:30;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 14:45;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 15:00;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 15:15;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 15:30;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 15:45;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 16:00;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 16:15;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 16:30;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 16:45;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 17:00;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 17:15;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 17:30;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 17:45;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 18:00;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 18:15;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 18:30;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 18:45;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 19:00;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 19:15;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 19:30;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 19:45;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 20:00;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 20:15;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 20:30;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 20:45;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 21:00;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 21:15;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 21:30;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 21:45;0,0;0,0;0,0;0,0;0,0;0,0
24/06/2018 22:00;0,0;0,0;0,0;0,0;0,0;0,0
